sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
305,1,2,-3.8571428571428568,0.14285714285714324,-0.8571428571428568,2.1428571428571432,1.1428571428571432,1.1428571428571432,-0.8571428571428568,2,6,5,8,7,7,5
305,1,3,1.1428571428571432,-0.8571428571428568,2.1428571428571432,0.14285714285714324,1.1428571428571432,2.1428571428571432,-0.8571428571428568,7,5,8,6,7,8,5
305,1,4,4.142857142857143,-1.8571428571428568,4.142857142857143,3.1428571428571432,-3.8571428571428568,-3.8571428571428568,1.1428571428571432,10,4,10,9,2,2,7
306,1,1,-2.928571428571429,-1.9285714285714288,-3.928571428571429,-3.928571428571429,5.071428571428571,5.071428571428571,-3.928571428571429,2,3,1,1,10,10,1
306,1,2,-2.928571428571429,-1.9285714285714288,-3.928571428571429,-3.928571428571429,5.071428571428571,5.071428571428571,-3.928571428571429,2,3,1,1,10,10,1
306,1,3,1.0714285714285712,-1.9285714285714288,-0.9285714285714288,-0.9285714285714288,-2.928571428571429,5.071428571428571,-3.928571428571429,6,3,4,4,2,10,1
306,1,4,5.071428571428571,3.071428571428571,5.071428571428571,5.071428571428571,3.071428571428571,-3.928571428571429,0.07142857142857117,10,8,10,10,8,1,5
307,1,1,-2.2142857142857144,-3.2142857142857144,-4.214285714285714,-0.2142857142857144,4.785714285714286,4.785714285714286,-4.214285714285714,3,2,1,5,10,10,1
307,1,2,-3.2142857142857144,-3.2142857142857144,-4.214285714285714,0.7857142857142856,4.785714285714286,4.785714285714286,-4.214285714285714,2,2,1,6,10,10,1
307,1,3,3.7857142857142856,1.7857142857142856,3.7857142857142856,-0.2142857142857144,-0.2142857142857144,-1.2142857142857144,0.7857142857142856,9,7,9,5,5,4,6
307,1,4,4.785714285714286,2.7857142857142856,4.785714285714286,0.7857142857142856,-4.214285714285714,-4.214285714285714,-4.214285714285714,10,8,10,6,1,1,1
308,1,1,-1.3928571428571432,-0.39285714285714324,-5.392857142857143,1.6071428571428568,3.6071428571428568,3.6071428571428568,-3.3928571428571432,5,6,1,8,10,10,3
308,1,2,2.6071428571428568,-0.39285714285714324,-1.3928571428571432,0.6071428571428568,1.6071428571428568,3.6071428571428568,-1.3928571428571432,9,6,5,7,8,10,5
308,1,3,2.6071428571428568,-0.39285714285714324,1.6071428571428568,-0.39285714285714324,-1.3928571428571432,-2.3928571428571432,3.6071428571428568,9,6,8,6,5,4,10
308,1,4,2.6071428571428568,-0.39285714285714324,1.6071428571428568,-3.3928571428571432,-5.392857142857143,-5.392857142857143,3.6071428571428568,9,6,8,3,1,1,10
309,1,1,-2.6071428571428568,-3.6071428571428568,-4.607142857142857,-4.607142857142857,4.392857142857143,4.392857142857143,-4.607142857142857,3,2,1,1,10,10,1
309,1,2,-3.6071428571428568,-3.6071428571428568,-4.607142857142857,-4.607142857142857,4.392857142857143,4.392857142857143,-4.607142857142857,2,2,1,1,10,10,1
309,1,3,1.3928571428571432,3.3928571428571432,4.392857142857143,4.392857142857143,-4.607142857142857,-0.6071428571428568,2.3928571428571432,7,9,10,10,1,5,8
309,1,4,4.392857142857143,3.3928571428571432,2.3928571428571432,4.392857142857143,-3.6071428571428568,-0.6071428571428568,2.3928571428571432,10,9,8,10,2,5,8
310,1,1,1.0714285714285712,-2.928571428571429,-4.928571428571429,-4.928571428571429,4.071428571428571,4.071428571428571,-4.928571428571429,7,3,1,1,10,10,1
310,1,2,4.071428571428571,-1.9285714285714288,-1.9285714285714288,-1.9285714285714288,4.071428571428571,4.071428571428571,-4.928571428571429,10,4,4,4,10,10,1
310,1,3,4.071428571428571,0.07142857142857117,-4.928571428571429,-4.928571428571429,0.07142857142857117,4.071428571428571,-1.9285714285714288,10,6,1,1,6,10,4
310,1,4,4.071428571428571,4.071428571428571,4.071428571428571,4.071428571428571,-4.928571428571429,-4.928571428571429,4.071428571428571,10,10,10,10,1,1,10
311,1,1,-4.571428571428571,-4.571428571428571,-5.571428571428571,-5.571428571428571,3.428571428571429,3.428571428571429,-4.571428571428571,2,2,1,1,10,10,2
311,1,2,2.428571428571429,-2.571428571428571,-3.571428571428571,-2.571428571428571,2.428571428571429,3.428571428571429,-4.571428571428571,9,4,3,4,9,10,2
